Address  Disassembly                                     String                                                                                                                                                                                                                                                                                   
772900C7 push ntdll.772900D5                             "[Pj"
7732750B mov eax,dword ptr ds:[7738020C]                 "0$W"
77327566 push ntdll.772A577C                             "AVRF: provider %ws did not initialize correctly \n"
77327581 push ntdll.772A573C                             "AVRF: exception raised in provider %ws initialization routine \n"
77327595 push ntdll.772A5708                             "AVRF: exception raised while probing provider %ws \n"
7732762B push ntdll.772A58D4                             "AVRF: pid 0x%X: found dll descriptor for `%ws' with verified exports \n"
773276E1 push ntdll.772A58D4                             "AVRF: pid 0x%X: found dll descriptor for `%ws' with verified exports \n"
773277E5 mov edi,dword ptr ds:[7738020C]                 "0$W"
773277EB mov ebx,ntdll.7738020C                          "0$W"
77327811 push ntdll.772A5948                             "AVRF: resnapping %ws ... \n"
77327831 push ntdll.772A591C                             "AVRF: skipped resnapping provider %ws ... \n"
7732790F push ntdll.772A5964                             "AVRF: AVrfDllUnloadNotification called for a provider (%p) \n"
773279C7 mov eax,dword ptr ds:[7738020C]                 "0$W"
773279CF push ntdll.772A5A92                             "AVRF: %ws: pid 0x%X: flags 0x%X: application verifier enabled\n"
773279F6 mov eax,dword ptr ds:[7738020C]                 "0$W"
773279FE push ntdll.772A5A36                             "AVRF: %ws: pid 0x%X: application verifier will be disabled due to an initialization error.\n"
77327A61 push ntdll.772A5A0E                             "AVRF: -*- final list of providers -*- \n"
77327B2A push ntdll.772A59F2                             L"VerifierFlags"
77327B6A push ntdll.772A59D8                             L"HandleTraces"
77327B7F push ntdll.772A59BC                             L"VerifierDebug"
77327B97 push ntdll.772A59A2                             L"VerifierDlls"
773286A5 push ntdll.772A5B5E                             L"\\Registry\\Machine\\Software\\Microsoft\\Windows NT\\CurrentVersion\\Image File Execution Options\\"
773286FB push ntdll.772A35BC                             L"GlobalFlag"
77328D33 mov ecx,ntdll.7731DF9C                          L"(null)"
77328D54 push ntdll.772A5C42                             L"\\Registry\\Machine\\Software\\Microsoft\\SQMClient\\Windows\\WMR"
77328DA1 push ntdll.772A5C18                             L"WMRSendMessageString"
77328DDB push ntdll.772A5CDC                             L"\\Registry\\Machine\\Software\\Microsoft\\Windows\\Windows Error Reporting\\Escalation"
77328E28 push ntdll.772A5CB8                             L"DisableEscalation"
77328F54 push ntdll.772A5DF4                             L"WinShipAssert"
77328F6D push ntdll.772A5DC0                             L"WindowsMessageReportingB1"
77328FD6 push ntdll.772A5DA8                             L"%d.%d.%d.%d"
77329000 mov ebx,ntdll.772A5DA2                          L"%X"
77329047 push ntdll.772A5D9C                             L"%d"
773290C7 push ntdll.772A5DA8                             L"%d.%d.%d.%d"
77329394 push ntdll.772A56BA                             L"\\REGISTRY\\USER\\"
773293E1 push ntdll.772A5E10                             L"\\Software\\Microsoft\\Windows"
773297D7 push ntdll.772A5EF4                             L"\\Registry\\Machine\\Software\\Microsoft\\SQMClient\\Windows\\CommonDatapoints\\"
773298F0 push ntdll.772A60C2                             L"\\Registry\\Machine\\Software\\Microsoft\\SQMClient\\Windows"
77329937 push ntdll.772A609A                             L"WSqmConsLastRunTime"
77329AED push ntdll.772A5EF4                             L"\\Registry\\Machine\\Software\\Microsoft\\SQMClient\\Windows\\CommonDatapoints\\"
77329BC9 push ntdll.772A6322                             L"\\Registry\\Machine\\Software\\Microsoft\\SQMClient\\Windows\\AdaptiveSqm\\Throttling"
77329C1C push ntdll.772A631C                             L"%u"
77329E9C mov edi,ntdll.7731DF9C                          L"(null)"
7732A7A9 mov eax,ntdll.7731DF9C                          L"(null)"
7732C24E push ntdll.772A75A2                             "RtlpQueryFilesInAssemblyInformationActivationContextDetailedInformation"
7732C253 push ntdll.772A74BE                             "SXS: %s() received invalid sub-instance index %lu out of %lu Assemblies in the Acitvation Context\n"
7732C2A8 push ntdll.772A75A2                             "RtlpQueryFilesInAssemblyInformationActivationContextDetailedInformation"
7732C2AD push ntdll.772A7564                             "SXS: %s() received invalid file index (%d) in Assembly (%d)\n"
7732C53C push ntdll.772A7B0E                             "SXS: Unable to open storage root subkey %wZ; Status = 0x%08lx\n"
7732C576 push ntdll.772A7AC0                             "SXS: Unabel to query location from storage root subkey %wZ; Status = 0x%08lx\n"
7732C594 push ntdll.772A7A82                             "SXS: Assembly storage root location value type is not REG_SZ\n"
7732C5A5 push ntdll.772A7A44                             "SXS: Assembly storage root location value has non-even size\n"
7732C5D2 push ntdll.772A79F6                             "SXS: Assembly storage root location for %wZ does not fit in a UNICODE STRING\n"
7732CD07 push ntdll.7732CD24                             "Invalid parameter passed to C runtime function.\n"
7732D9D7 mov dword ptr ss:[ebp-2AC],ntdll.772A86A6       L"Type:"
7732D9E1 mov dword ptr ss:[ebp-2A8],ntdll.772A8698       L" Name:"
7732D9EB mov dword ptr ss:[ebp-2A4],ntdll.772A8682       L" Language:"
7732D9F5 mov dword ptr ss:[ebp-2A0],ntdll.772A8674       L" Item:"
7732DA26 push ntdll.772A8668                             L"SR - "
7732E505 push ntdll.772A8848                             L"Wow64 Emulation Layer"
7732EA0B mov dword ptr ss:[ebp-24],ntdll.772A88EA        L"LdrpResValidateFilePath Enter"
7732EA20 mov dword ptr ss:[ebp-2C],ntdll.772A88B0        L"LdrpResValidateFilePath Exit"
7732EC78 mov dword ptr ss:[ebp-4],ntdll.772A8954         L"LdrResGetRCConfig Enter"
7732EC83 mov dword ptr ss:[ebp-C],ntdll.772A8926         L"LdrResGetRCConfig Exit"
7732ED2C mov dword ptr ss:[ebp-1C],ntdll.772A89AC        L"LdrpResMapFile Enter"
7732ED37 mov dword ptr ss:[ebp-24],ntdll.772A8984        L"LdrpResMapFile Exit"
7732EF5C mov dword ptr ss:[ebp-28],ntdll.772A89FC        L"LdrResRelease Enter"
7732EF71 mov dword ptr ss:[ebp-30],ntdll.772A89D6        L"LdrResRelease Exit"
7732F165 mov dword ptr ss:[ebp-144],ntdll.772A8D50       L"LdrpResSearchResourceHandle Enter"
7732F183 mov dword ptr ss:[ebp-13C],ntdll.772A8D0E       L"LdrpResSearchResourceHandle Exit"
77331A6C push ntdll.772A8E06                             L"RXACT"
77331BD9 push ntdll.772A8DFE                             L"Log"
77331D22 push ntdll.772A8DFE                             L"Log"
7733568F push ntdll.772A8E70                             "HEAP[%wZ]: "
7733569C push ntdll.772A8E68                             "HEAP: "
773356AF push ntdll.772A8F74                             "Heap block at %p modified at %p past requested size of %lx\n"
773375AC push ntdll.772A9126                             "\n*** Assertion failed: %s%s\n***   Source File: %s, line %ld\n\n"
773375D3 push ntdll.772A90CE                             "Break repeatedly, break Once, Ignore, terminate Process, or terminate Thread (boipt)? "
7733761C push ntdll.772A4762                             "Execute '.cxr %p' to dump context\n"
7733803A push ntdll.772F6D78                             L"Bias"
77338060 push ntdll.772F6D84                             L"StandardName"
7733807F push ntdll.772F6DA0                             L"StandardBias"
7733809D push ntdll.772F6DBC                             L"StandardStart"
773380C1 push ntdll.772F6DD8                             L"DaylightName"
773380DC push ntdll.772F6DF4                             L"DaylightBias"
773380F9 push ntdll.772F7070                             L"DaylightStart"
77338122 push ntdll.7731E628                             L"TimeZoneKeyName"
77338153 push ntdll.7731E628                             L"TimeZoneKeyName"
77338179 push ntdll.7731E648                             L"DynamicDaylightTimeDisabled"
77338458 mov eax,dword ptr ds:[7738208C]                 &"?\f"
77338498 mov eax,dword ptr ds:[7738208C]                 &"?\f"
773384C0 mov eax,dword ptr ds:[7738208C]                 &"?\f"
773384D5 mov dword ptr ds:[7738208C],eax                 &"?\f"
7733864D mov dword ptr ss:[ebp-44],ntdll.772A8712        L"MUI"
77338A99 push ntdll.772A86B2                             L".mui"
7733974B push ntdll.772A927E                             L"\\Registry\\Machine\\System\\CurrentControlSet\\Control\\MUI\\Settings"
77339782 push ntdll.772A9254                             L"PreferredUILanguages"
773397BF push ntdll.772A9214                             L"Control Panel\\Desktop\\MuiCached"
773397E7 push ntdll.772A91DC                             L"MachinePreferredUILanguages"
7733A237 push ntdll.772A92FE                             L"\\Registry\\Machine\\System\\CurrentControlSet\\Control\\CMF\\SQMData\\BootLanguages"
7733A396 push ntdll.772A9398                             L"\\Registry\\Machine\\System\\CurrentControlSet\\Control\\MUI\\UILanguages"
7733A65B push dword ptr ds:[7738208C]                    &"?\f"
7733A670 mov eax,dword ptr ds:[7738208C]                 &"?\f"
7733A68C mov dword ptr ds:[7738208C],ebx                 &"?\f"
7733AC10 push ntdll.772A959E                             "*** ASSERT FAILED: Input parameter LanguagesBuffer for function RtlpSetPreferredUILanguages is not a valid multi-string!\n"
7733B0AA push ntdll.772A9518                             L"\\Registry\\Machine\\System\\CurrentControlSet\\Control\\NLS\\Language"
7733B0DB push ntdll.772A94E8                             L"InstallLanguageFallback"
7733B1C8 push ntdll.772A94BC                             L"Control Panel\\Desktop"
7733B1FB push ntdll.772A9484                             L"PreferredUILanguagesPending"
7733B229 push ntdll.772A944A                             L"LanguageConfigurationPending"
7733B30F push ntdll.772A927E                             L"\\Registry\\Machine\\System\\CurrentControlSet\\Control\\MUI\\Settings"
7733B344 push ntdll.772A9254                             L"PreferredUILanguages"
7733B389 push ntdll.772A941E                             L"LanguageConfiguration"
7733B59A push ntdll.772A9698                             "*** ASSERT FAILED: Input parameter LanguagesBuffer for function RtlSetProcessPreferredUILanguages is not a valid multi-string!\n"
7733B601 push dword ptr ds:[7738208C]                    &"?\f"
7733B735 push ntdll.772A9718                             "*** ASSERT FAILED: Input parameter pwmszLanguage for function RtlGetUILanguageInfo is not a valid multi-string!\n"
7733CD59 push ntdll.772A9518                             L"\\Registry\\Machine\\System\\CurrentControlSet\\Control\\NLS\\Language"
7733CD83 push ntdll.772A94E8                             L"InstallLanguageFallback"
7733CDBD push ntdll.772A927E                             L"\\Registry\\Machine\\System\\CurrentControlSet\\Control\\MUI\\Settings"
7733CDEB push ntdll.772A9254                             L"PreferredUILanguages"
7733CE19 push ntdll.772A97C4                             L"\\Registry\\Machine\\System\\CurrentControlSet\\Control\\MUI\\Settings\\LanguageConfiguration"
7733CE72 push ntdll.772A9214                             L"Control Panel\\Desktop\\MuiCached"
7733CEA1 push ntdll.772A91DC                             L"MachinePreferredUILanguages"
7733CEC4 push ntdll.772A978A                             L"MachineLanguageConfiguration"
7733CF2F push ntdll.772A92FE                             L"\\Registry\\Machine\\System\\CurrentControlSet\\Control\\CMF\\SQMData\\BootLanguages"
7733D68F push ntdll.772A8E70                             "HEAP[%wZ]: "
7733D69C push ntdll.772A8E68                             "HEAP: "
7733D6AB push ntdll.772A9892                             "VirtualQuery Failed 0x%08x %x\n"
7733D6D4 push ntdll.772A8E70                             "HEAP[%wZ]: "
7733D6E1 push ntdll.772A8E68                             "HEAP: "
7733D6F0 push ntdll.772A9870                             "VirtualProtect Failed 0x%08x %x\n"
7733F56F push ntdll.772A4E1C                             L"Objects>%4u"
7733F587 push ntdll.772A4E04                             L"Objects=%4u"
7733F59D push ntdll.772A4DEA                             L"VirtualAlloc"
7734040A push ntdll.772A9966                             L"\\SmApiPort"
77341A80 push ntdll.772A997C                             L"\\SystemRoot\\bootstat.dat"
77341C97 push ntdll.772A997C                             L"\\SystemRoot\\bootstat.dat"
77342167 push ntdll.772A631C                             L"%u"
773426FA push ntdll.772A99AE                             L"System Volume Information"
77342854 mov esi,1E0000                                  L"athan"
77342DAB mov eax,dword ptr ds:[77384334]                 &"0C8w0C8w8C8w8C8w"
77342DB0 mov dword ptr ds:[esi],ntdll.77384330           &"0C8w0C8w8C8w8C8w"
77342DBC mov dword ptr ds:[77384334],esi                 &"0C8w0C8w8C8w8C8w"
77342DED mov esi,dword ptr ds:[77384330]                 &"0C8w0C8w8C8w8C8w"
77342DF3 mov eax,ntdll.77384330                          &"0C8w0C8w8C8w8C8w"
77342E6F mov esi,dword ptr ds:[77384330]                 &"0C8w0C8w8C8w8C8w"
77342E75 cmp esi,ntdll.77384330                          &"0C8w0C8w8C8w8C8w"
77342ECB cmp esi,ntdll.77384330                          &"0C8w0C8w8C8w8C8w"
77342F1F cmp dword ptr ds:[77384330],ntdll.77384330      &"0C8w0C8w8C8w8C8w"
77342F1F cmp dword ptr ds:[77384330],ntdll.77384330      &"0C8w0C8w8C8w8C8w"
7734305C push ntdll.772A9A02                             "Error\n"
773430A1 push ntdll.772A99E2                             "Not enough memory to complete\n"
7734324B push ntdll.772A9A2E                             "Conflicting descriptors %08lx\n"
7734327F push ntdll.772A9A0A                             "Unable to allocate page descriptor\n"
7734351B push ntdll.772A9A8C                             "Entry     User      Heap          Size    Req.Size     Flags\n"
77343525 mov dword ptr ss:[esp],ntdll.772A9A4E           "------------------------------------------------------------\n"
7734356E push ntdll.772A9AFA                             "busy "
7734357A push ntdll.772A9AF0                             "virtual "
77343586 push ntdll.772A9AEA                             "UCR "
77343591 push ntdll.772A9AE4                             "free "
773435A1 push ntdll.772A9ADC                             "extra "
773435B1 push ntdll.772A9AD6                             "fill "
773435C2 push ntdll.772A9ACA                             "user_flag "
77343625 push ntdll.772A9B00                             "%p  %p  %p  %8lx  %p  "
77343965 mov eax,ntdll.772A9BAC                          "ffff:"
77343982 push ntdll.772A9B9A                             "::%hs%u.%u.%u.%u"
773439BE push ntdll.772A9B84                             "::ffff:0:%u.%u.%u.%u"
77343A5F push ntdll.772A9B80                             "::"
77343AAC push ntdll.772A9B7A                             "%x"
77343AE3 push ntdll.772A9B6C                             ":%u.%u.%u.%u"
77343B73 push ntdll.772A9BB8                             "%%%u"
77343B9C push ntdll.772A9BB2                             "]:%u"
77343C00 push ntdll.772A9BC0                             "%u.%u.%u.%u"
77343C6E push ntdll.772A9BCC                             ":%u"
77343CE1 push ntdll.772A9BD0                             "%02X-%02X-%02X-%02X-%02X-%02X"
77343D28 push ntdll.772A9C9C                             L"%02X-%02X-%02X-%02X-%02X-%02X"
773450D5 push ntdll.772A9E82                             L"\\SystemRoot\\Globalization\\"
77345110 push ntdll.772A9E78                             L".nlp"
77345F74 push ntdll.772A8E70                             "HEAP[%wZ]: "
77345F81 push ntdll.772A8E68                             "HEAP: "
77345F9B push ntdll.772A9F9A                             " Leaked Block 0x%p size 0x%p (stack %p depth %u)\n"
773465A9 push ntdll.7731E2F4                             L"xn--"
77346997 push ntdll.7731E2F4                             L"xn--"
77346B4A push ntdll.7731E2F4                             L"xn--"
77348B3F push ntdll.772AA606                             "\n\n *** Unhandled exception 0x%08lx, hit in %ws:%s\n\n"
77348B56 push ntdll.772AA5D2                             "\n\n *** A stack buffer overrun occurred in %ws:%s\n\n"
77348B65 push ntdll.772AA552                             "This is usually the result of a memory copy to a local buffer or structure where the size is not properly calculated/checked.\n"
77348B71 push ntdll.772AA500                             "If this bug ends up in the shipping product, it could be a severe security hole.\n"
77348B7D push ntdll.772AA49C                             "The stack trace should show the guilty function (the function directly above __report_gsfailure).\n"
77348BB3 push ntdll.772AA472                             "\n\n *** Resource timeout (%p) in %ws:%s\n\n"
77348BD2 push ntdll.772AA442                             "The resource is owned exclusively by thread %x\n"
77348BE3 push ntdll.772AA416                             "The resource is owned shared by %d threads\n"
77348BF4 push ntdll.772AA3B8                             "The resource is unowned.  This usually implies a slow-moving machine due to memory pressure\n\n"
77348C00 push ntdll.772AA386                             "\n\n *** Critical Section Timeout (%p) in %ws:%s\n\n"
77348C1D push ntdll.772AA358                             "The critical section is owned by thread %x.\n"
77348C29 push ntdll.772AA312                             "Go determine why that thread has not released the critical section.\n\n"
77348C3A push ntdll.772AA2AC                             "The critical section is unowned.  This usually implies a slow-moving machine due to memory pressure\n\n"
77348C7C push ntdll.772AA28C                             "\n\n *** Inpage error in %ws:%s\n\n"
77348C93 push ntdll.772AA25C                             "The instruction at %p referenced memory at %p.\n"
77348CA4 push ntdll.772AA238                             "This failed because of error %x.\n\n"
77348CD4 push ntdll.772AA1EC                             "This means that the I/O device reported an I/O error.  Check your hardware."
77348CDB push ntdll.772AA17E                             "This means the data could not be read, typically because of a bad block on the disk.  Check your hardware.\n\n"
77348CE2 push ntdll.772AA11E                             "This means the machine is out of memory.  Use !vm to see where all the memory is being used.\n\n"
77348CED push ntdll.772AA0EE                             "\n\n *** An Access Violation occurred in %ws:%s\n\n"
77348D04 mov ecx,ntdll.772AA0E4                          "write to"
77348D0B mov ecx,ntdll.772AA0DA                          "read from"
77348D14 push ntdll.772AA0B6                             "The instruction at %p tried to %s "
77348D2D push ntdll.772AA09C                             "an invalid address, %p\n\n"
77348D3E push ntdll.772AA08A                             "a NULL pointer\n\n"
77348D4F push ntdll.772AA05C                             " *** enter .exr %p for the exception record\n"
77348D6B push ntdll.772AA036                             " ***  enter .cxr %p for the context\n"
77348D7A push ntdll.772AA00C                             " *** then kb to get the faulting stack\n\n"
77348D9D push ntdll.772A9FCC                             " *** Restarting wait on critsec or resource at %p (in %ws:%s)\n\n"
77349C8F push ntdll.772AA63A                             "Trace database: failed to release segment %p \n"
77349DFA push ntdll.772AA66A                             "Trace database: failing attempt to save biiiiig trace (size %u) \n"
7734A5D5 push ntdll.772A94BC                             L"Control Panel\\Desktop"
7734A5EE push ntdll.772A9214                             L"Control Panel\\Desktop\\MuiCached"
7734A615 push ntdll.772A91DC                             L"MachinePreferredUILanguages"
7734A64F push ntdll.772A927E                             L"\\Registry\\Machine\\System\\CurrentControlSet\\Control\\MUI\\Settings"
7734A675 push ntdll.772A9254                             L"PreferredUILanguages"
7734A753 push ntdll.772AA6AC                             L"MachineUILock"
7734B69F push ntdll.772AA6F0                             L"DefaultFallback"
7734BD44 push ntdll.772A9254                             L"PreferredUILanguages"
7734BECD push ntdll.772A927E                             L"\\Registry\\Machine\\System\\CurrentControlSet\\Control\\MUI\\Settings"
7734BEFC push ntdll.772A9254                             L"PreferredUILanguages"
7734C01A push ntdll.772AA8BA                             L"\\Registry\\Machine\\Software\\Policies\\Microsoft\\MUI\\Settings"
7734C5FA push ntdll.772AA6F0                             L"DefaultFallback"
7734CC70 push ntdll.772AAAA8                             ".hotp1  "
7734CEDD mov edx,ntdll.772AAB76                          "(no change)"
7734CEFB push ntdll.772AAB4E                             "\t%08I64X: VA64 %016I64X -> %016I64X %s\n"
7734CF25 mov ecx,ntdll.772AAB76                          "(no change)"
7734CF3F push ntdll.772AAB22                             "\t%08I64X: PC32 %08X -> %08X (target %p) %s\n"
7734CF6D mov ecx,ntdll.772AAB76                          "(no change)"
7734CF7F push ntdll.772AAB02                             "\t%08I64X: VA32 %08X -> %08X %s\n"
7734CFAE mov eax,ntdll.772AAAF6                          " (padding)"
7734CFB4 push ntdll.772AAAE2                             "\t          None%s\n"
7734CFCF push ntdll.772AAACE                             "\t%08I64X: Unknown\n"
7734CFE1 push ntdll.772AAAB2                             "Invalid fixup information\n"
7734D07A push ntdll.772AABCE                             "Validation failure. Source = %p, Target = %p, Size = %x\n"
7734D096 push ntdll.772AABAC                             "Invalid target validation range\n"
7734D09D push ntdll.772AAB82                             "Invalid source hotpatch validation range\n"
7734D11B push ntdll.772AAC62                             "Skipping hook-specific validation range during global validation\n"
7734D14C push ntdll.772AAC34                             "Validation failed for global range %u of %u\n"
7734D162 push ntdll.772AAC08                             "Invalid hotpatch validation array pointer\n"
7734D230 push ntdll.772AACC4                             "Invalid hotpatch validation pointer in hook record\n"
7734D387 push ntdll.772AACA4                             "Hook type not yet implemented\n"
7734D50B push ntdll.772AADE8                             "Invalid hotpatch base address\n"
7734D532 push ntdll.772AADCA                             "Invalid target base address\n"
7734D540 push ntdll.772AADAA                             "Invalid hotpatch hook pointer\n"
7734D574 push ntdll.772AAD80                             "Hotpatch loaded > 2GB from target image\n"
7734D5CF push ntdll.772AAD62                             "Invalid hook type specified\n"
7734D71A push ntdll.772AAD46                             "Unsupported template type\n"
7734D7AC push ntdll.772AAD22                             "Invalid hotpatch relative address\n"
7734D7F8 push ntdll.772AAD02                             "\t%08I64X: jmp %08X (PC+%08X) {"
7734D814 push ntdll.772AACFC                             " %02X"
7734D82A push ntdll.772AACF8                             " }\n"
7734D897 push ntdll.772AAE54                             "No hooks defined in hotpatch\n"
7734D8C7 push ntdll.772AAE2E                             "Inserting %u hooks into target image\n"
7734DA53 push ntdll.772AAE08                             "Invalid hotpatch hook array pointer\n"
7734DC12 push ntdll.772AAEA8                             "Failed to normalize PE header for validation\n"
7734DC2E push ntdll.772AAE72                             "Header too large (%u>%u) for copy/normalize/validate\n"
7734DDDA push ntdll.772AAED6                             "PE header hash ID comparsion failure (PE2)\n"
7734DE95 push ntdll.772AAF56                             "Unrecognized"
7734DE9C push ntdll.772AAF3C                             "HOTP_ID_PeDebugSignature"
7734DEB1 push ntdll.772AAF26                             "HOTP_ID_PeHeaderHash2"
7734DED0 push ntdll.772AAF10                             "HOTP_ID_PeHeaderHash1"
7734DEE5 push ntdll.772AAF02                             "HOTP_ID_None\n"
7734E614 push ntdll.772AAF64                             "Critical error detected %lx\n"
7734E6E4 mov ebx,ntdll.772A8E68                          "HEAP: "
7734E6E9 mov esi,ntdll.772A8E70                          "HEAP[%wZ]: "
7734E71F push ntdll.772AB1C0                             "Heap error detected at %p (heap handle %p)\n"
7734E73D mov edi,ntdll.772AB1AA                          "heap_failure_internal"
7734E744 mov edi,ntdll.772AB194                          "heap_failure_unknown"
7734E74B mov edi,ntdll.772AB17E                          "heap_failure_generic"
7734E752 mov edi,ntdll.772AB160                          "heap_failure_entry_corruption"
7734E759 mov edi,ntdll.772AB136                          "heap_failure_multiple_entries_corruption"
7734E760 mov edi,ntdll.772AB110                          "heap_failure_virtual_block_corruption"
7734E767 mov edi,ntdll.772AB0F4                          "heap_failure_buffer_overrun"
7734E76E mov edi,ntdll.772AB0D6                          "heap_failure_buffer_underrun"
7734E775 mov edi,ntdll.772AB0BA                          "heap_failure_block_not_busy"
7734E77C mov edi,ntdll.772AB09C                          "heap_failure_invalid_argument"
7734E783 mov edi,ntdll.772AB07E                          "heap_failure_usage_after_free"
7734E78A mov edi,ntdll.772AB05C                          "heap_failure_cross_heap_operation"
7734E791 mov edi,ntdll.772AB03A                          "heap_failure_freelists_corruption"
7734E798 mov edi,ntdll.772AB018                          "heap_failure_listentry_corruption"
7734E7D6 push ntdll.772AB002                             "Error code: %d - %s\n"
7734E824 push ntdll.772AAFF2                             "Parameter1: %p\n"
7734E86F push ntdll.772AAFE2                             "Parameter2: %p\n"
7734E8BA push ntdll.772AAFD2                             "Parameter3: %p\n"
7734E913 push ntdll.772AAFA0                             "Last known valid blocks: before - %p, after - %p\n"
7734E956 push ntdll.772AAF82                             "Stack trace available at %p\n"
7734F97C push ntdll.772A8E70                             "HEAP[%wZ]: "
7734F989 push ntdll.772A8E68                             "HEAP: "
7734F9A0 push ntdll.772AB226                             "Heap %p - headers modified (%p is %lx instead of %lx)\n"
7734F9B1 cmp dword ptr ds:[7734FA3C],ecx                 &"Entry"
7734F9D1 cmp dword ptr ds:[eax+7734FA3C],ecx             &"Entry"
7734F9FC push ntdll.772A8E70                             "HEAP[%wZ]: "
7734FA09 push ntdll.772A8E68                             "HEAP: "
7734FA14 push dword ptr ds:[esi*8+7734FA3C]              &"Entry"
7734FA1B push ntdll.772AB1EC                             "    This is located in the %s field of the heap header.\n"
773501EF push ntdll.772A8E70                             "HEAP[%wZ]: "
77350220 push ntdll.772A8E70                             "HEAP[%wZ]: "
7735022D push ntdll.772A8E68                             "HEAP: "
77350249 push ntdll.772AB3C4                             "Heap entry %p has incorrect PreviousSize field (%04x instead of %04x)\n"
77350294 push ntdll.772A8E70                             "HEAP[%wZ]: "
773502A1 push ntdll.772A8E68                             "HEAP: "
773502B5 push ntdll.772AB38E                             "Free Heap block %p modified at %p after it was freed\n"
773502E9 push ntdll.772A8E70                             "HEAP[%wZ]: "
773502F6 push ntdll.772A8E68                             "HEAP: "
77350307 push ntdll.772AB35A                             "Heap block at %p has incorrect segment offset (%x)\n"
77350345 push ntdll.772A8E70                             "HEAP[%wZ]: "
77350352 push ntdll.772A8E68                             "HEAP: "
77350364 push ntdll.772AB326                             "Heap block at %p is not last block in segment (%p)\n"
773503AA push ntdll.772A8E70                             "HEAP[%wZ]: "
773503B7 push ntdll.772A8E68                             "HEAP: "
773503CE push ntdll.772AB2F2                             "Heap block at %p has corrupted PreviousSize (%lx)\n"
773503D8 push ntdll.772A8E68                             "HEAP: "
773503E8 push ntdll.772AB2A8                             "Heap Segment at %p contains invalid NumberOfUnCommittedPages (%x != %x)\n"
77350428 push ntdll.772A8E70                             "HEAP[%wZ]: "
77350435 push ntdll.772A8E68                             "HEAP: "
77350445 push ntdll.772AB25E                             "Heap Segment at %p contains invalid NumberOfUnCommittedRanges (%x != %x)\n"
773504BA push ntdll.772A8E70                             "HEAP[%wZ]: "
773504C7 push ntdll.772A8E68                             "HEAP: "
773504D3 push ntdll.772AB4FA                             "Invalid ReserveSize parameter - %x\n"
77350512 push ntdll.772A8E70                             "HEAP[%wZ]: "
7735051F push ntdll.772A8E68                             "HEAP: "
7735052D push ntdll.772AB4D6                             "Invalid CommitSize parameter - %x\n"
77350563 push ntdll.772A8E70                             "HEAP[%wZ]: "
77350570 push ntdll.772A8E68                             "HEAP: "
7735057B push ntdll.772AB49E                             "May not specify Lock parameter with HEAP_NO_SERIALIZE\n"
773505CD push ntdll.772A8E70                             "HEAP[%wZ]: "
773505DA push ntdll.772A8E68                             "HEAP: "
773505E9 push ntdll.772AB46E                             "Specified HeapBase (%p) invalid,  Status = %lx\n"
77350616 push ntdll.772A8E70                             "HEAP[%wZ]: "
77350623 push ntdll.772A8E68                             "HEAP: "
77350632 push ntdll.772AB43E                             "Specified HeapBase (%p) != to BaseAddress (%p)\n"
7735066B push ntdll.772A8E70                             "HEAP[%wZ]: "
77350678 push ntdll.772A8E68                             "HEAP: "
77350686 push ntdll.772AB40C                             "Specified HeapBase (%p) is free or not writable\n"
7735081B push ntdll.772A8E70                             "HEAP[%wZ]: "
77350828 push ntdll.772A8E68                             "HEAP: "
77350837 push ntdll.772AB68A                             "dedicated (%04x) free list element %p is marked busy\n"
77350885 push ntdll.772A8E70                             "HEAP[%wZ]: "
77350892 push ntdll.772A8E68                             "HEAP: "
7735089E push ntdll.772AB656                             "Non-Dedicated free list element %p is out of order\n"
773509DA push ntdll.772A8E70                             "HEAP[%wZ]: "
773509E7 push ntdll.772A8E68                             "HEAP: "
773509F6 push ntdll.772AB602                             "Number of free blocks in arena (%ld) does not match number in the free lists (%ld)\n"
77350A32 push ntdll.772A8E70                             "HEAP[%wZ]: "
77350A3F push ntdll.772A8E68                             "HEAP: "
77350A50 push ntdll.772AB5A6                             "Total size of free blocks in arena (%ld) does not match number total in heap header (%ld)\n"
77350AF9 push ntdll.772A8E70                             "HEAP[%wZ]: "
77350B06 push ntdll.772A8E68                             "HEAP: "
77350B1E push ntdll.772AB578                             "Pseudo Tag %04x size incorrect (%x != %x) %p\n"
77350B4E push ntdll.772A8E70                             "HEAP[%wZ]: "
77350B5B push ntdll.772A8E68                             "HEAP: "
77350B77 push ntdll.772AB54A                             "Tag %04x (%ws) size incorrect (%x != %x) %p\n"
77350BF2 push ntdll.772A8E70                             "HEAP[%wZ]: "
77350BFF push ntdll.772A8E68                             "HEAP: "
77350C0B push ntdll.772AB6D0                             "May not destroy the process heap at %p\n"
77350C1B push ntdll.772AB6C0                             "RtlDestroyHeap"
77350CA4 push ntdll.772AB786                             "RtlAllocateHeap"
77350E00 push ntdll.772A8E70                             "HEAP[%wZ]: "
77350E0D push ntdll.772A8E68                             "HEAP: "
77350E21 push ntdll.772AB75C                             "Just allocated block at %p for %x bytes\n"
77350E96 push ntdll.772A8E70                             "HEAP[%wZ]: "
77350EA3 push ntdll.772A8E68                             "HEAP: "
77350EBE push ntdll.772AB724                             "Just allocated block at %p for 0x%x bytes with tag %ws\n"
77350EF2 push ntdll.772A8E70                             "HEAP[%wZ]: "
77350EFF push ntdll.772A8E68                             "HEAP: "
