Address  Disassembly                                     String                                                                                                                                                                                                                                                                                   
772900C7 push ntdll.772900D5                             "[Pj"
772D1651 mov dword ptr ds:[esi],ntdll.7738020C           "0$W"
772D1668 mov dword ptr ds:[eax],ntdll.77380214           "8$W"
772D18FA push ntdll.772A3F66                             L"\\Software\\Policies\\Microsoft\\Windows\\Safer\\CodeIdentifiers"
772D1B21 push ntdll.772A9164                             L"ntdll.dll"
772D1B96 push dword ptr ds:[esi+772D128C]                &L"ProgramFiles(x86)"
772D1C50 mov dword ptr ds:[773801AC],esi                 &L"C:\\Windows\\syswow64"
772D1C94 mov dword ptr ds:[773801A4],eax                 &L"C:\\Users\\ADMIN\\AppData\\Local\\msacm32;;C:\\Windows\\system32;C:\\Windows\\system;C:\\Windows;.;C:\\Windows\\system32;C:\\Windows;C:\\Windows\\System32\\Wbem;C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\"
772D1CD2 mov dword ptr ds:[773800C8],eax                 "0$W"
772D1E32 push ntdll.772A38EA                             L"\\SysWOW64\\"
772D1E53 mov eax,dword ptr ds:[772D1FB4]                 &L"ntdll.dll"
772D1F8B push dword ptr ds:[773800C8]                    "0$W"
772D1FA2 mov eax,dword ptr ds:[7738020C]                 "0$W"
772D1FA7 mov ecx,ntdll.7738020C                          "0$W"
772D25D8 push ntdll.772D2660                             L"Cleanup Group"
772D25DD push ntdll.772D2644                             L"Threadpool!"
772D28CA mov dword ptr ss:[ebp-D8],ntdll.772A3CD8        "BaseQueryModuleData"
772D28F8 mov eax,ntdll.7738020C                          "0$W"
772D2902 mov dword ptr ds:[7738020C],eax                 "0$W"
772D2907 mov eax,ntdll.77380214                          "8$W"
772D2911 mov dword ptr ds:[77380214],eax                 "8$W"
772D3CFD push ntdll.772AA6CC                             L"AlternateCodePage"
772D3E28 push ntdll.772A9518                             L"\\Registry\\Machine\\System\\CurrentControlSet\\Control\\NLS\\Language"
772D3E56 push ntdll.772A94E8                             L"InstallLanguageFallback"
772D405A push ntdll.772AA930                             L"Software\\Policies\\Microsoft\\Control Panel\\Desktop"
772D4591 push ntdll.772A9214                             L"Control Panel\\Desktop\\MuiCached"
772D45BC push ntdll.772A91DC                             L"MachinePreferredUILanguages"
772D465E push ntdll.772AA8BA                             L"\\Registry\\Machine\\Software\\Policies\\Microsoft\\MUI\\Settings"
772D46D8 push ntdll.772A94BC                             L"Control Panel\\Desktop"
772D4709 mov eax,ntdll.772A9254                          L"PreferredUILanguages"
772D4A18 push ntdll.7738208C                             &"?\f"
772D4BE9 push ntdll.772AA890                             L"WindowsExcludedProcs"
772D4C0E push ntdll.772AA85C                             L"Kernel-MUI-Number-Allowed"
772D4C4F push ntdll.772AA824                             L"Kernel-MUI-Language-Allowed"
772D4D3C push ntdll.772AA7E2                             L"Kernel-MUI-Language-Disallowed"
772D4E24 push ntdll.772AA7B2                             L"Kernel-MUI-Language-SKU"
772D4F98 push ntdll.772AA99E                             L"Control Panel\\Desktop\\MuiCached\\MachineLanguageConfiguration"
772D4FBF push ntdll.772A97C4                             L"\\Registry\\Machine\\System\\CurrentControlSet\\Control\\MUI\\Settings\\LanguageConfiguration"
772D5016 push ntdll.772AA8BA                             L"\\Registry\\Machine\\Software\\Policies\\Microsoft\\MUI\\Settings"
772D5075 push ntdll.772AA930                             L"Software\\Policies\\Microsoft\\Control Panel\\Desktop"
772D509C push ntdll.772AAA18                             L"Control Panel\\Desktop\\LanguageConfiguration"
772D5268 push ntdll.772A9398                             L"\\Registry\\Machine\\System\\CurrentControlSet\\Control\\MUI\\UILanguages"
772D532D push ntdll.772AA994                             L"Type"
772D56D4 push ntdll.772AA710                             L"\\Registry\\Machine\\System\\CurrentControlSet\\Control\\MUI\\UILanguages\\PendingDelete"
772D5B3C push dword ptr ds:[7738208C]                    &"?\f"
772D5B4B mov eax,dword ptr ds:[7738208C]                 &"?\f"
772D5B6D push dword ptr ds:[7738208C]                    &"?\f"
772D5FB2 mov edi,ntdll.772D5FEC                          "TpDisablePoolCallbackChecks"
772D5FB7 mov esi,ntdll.772D9788                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
772D6501 mov eax,dword ptr ds:[7738208C]                 &"?\f"
772D80F7 mov esi,ntdll.772D8130                          L".Local\\"
772D818F mov esi,ntdll.772A7C1E                          L"\\WinSxS\\"
772D8B0E cmp ebx,ntdll.772C0E90                          "Actx "
772D8CDB push ntdll.772A6714                             "SXS: Activation context data at %p has invalid TOC entry array offset\n"
772D8CE6 push ntdll.772A66D2                             "SXS: Activation context data at %p has invalid TOC header offset\n"
772D8CF1 push ntdll.772A663A                             "SXS: Activation context data at %p has invalid assembly roster offset\n"
772D8CFC push ntdll.772A65F6                             "SXS: Warning: Activation context data at %p lacks assembly roster\n"
772D8D07 push ntdll.772A65B4                             "SXS: Warning: Activation context data at %p missing default TOC\n"
772D9C1C push ntdll.772A6254                             L"\\Registry\\Machine\\Software\\Policies\\Microsoft\\SQMClient\\Windows"
772D9C82 push ntdll.772A623E                             L"CEIPEnable"
772D9CA5 push ntdll.772A60C2                             L"\\Registry\\Machine\\Software\\Microsoft\\SQMClient\\Windows"
772D9D07 push ntdll.772A623E                             L"CEIPEnable"
772D9D6E push ntdll.772A6222                             L"CEIPSampledIn"
772D9D86 push ntdll.772A61A6                             L"\\Registry\\Machine\\Software\\Microsoft\\Reliability Analysis\\RAC"
772D9DE4 push ntdll.772A6186                             L"RacSampleNumber"
772D9DFF push ntdll.772A615C                             L"CEIPSamplingRangeLow"
772D9E1E push ntdll.772A6130                             L"CEIPSamplingRangeHigh"
772D9F57 mov edi,ntdll.772D9FF4                          "TpAllocTimer"
772D9F5C mov esi,ntdll.772B2798                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
772DA529 mov eax,dword ptr ds:[7738208C]                 &"?\f"
772DAAD2 mov dword ptr ds:[eax],ntdll.772DAAF0           "L]2w"
772DAADB mov dword ptr ds:[eax],ntdll.772DABA8           "W]2w"
772DAAE4 mov dword ptr ds:[eax],ntdll.772DAC60           "I^2w"
772DAEF9 mov dword ptr ss:[ebp-10],ntdll.772A8712        L"MUI"
772DC7E9 mov ebx,ntdll.772D9788                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
772DC948 mov ebx,ntdll.772DC988                          "TppWorkDestroy"
772DC94D mov edi,ntdll.772DC908                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
772DCE7C cmp esi,dword ptr ds:[773800C8]                 "0$W"
772DE462 mov edi,ntdll.772A86B2                          L".mui"
772DF4AA push ntdll.772DF4C8                             L"\\rescache"
772DF60B mov dword ptr ss:[ebp-218],ntdll.772DF668       L"%SystemRoot%"
772E0306 push ntdll.772A5D7C                             L"VS_VERSION_INFO"
772E05C9 movsx eax,word ptr ds:[eax*2+772E04A8]          &L"rige)"
772E096F movsx edx,word ptr ds:[esi+772E04A8]            &L"rige)"
772E0A1B movsx eax,word ptr ds:[eax+772E04A8]            &L"rige)"
772E1D0C mov eax,dword ptr ds:[773800C8]                 "0$W"
772E1D22 push dword ptr ds:[773800C8]                    "0$W"
772E1D93 mov eax,dword ptr ds:[773800C8]                 "0$W"
772E1DAD push dword ptr ds:[773800C8]                    "0$W"
772E21AD mov eax,dword ptr ds:[77386BF0]                 &"(null)"
772E2218 mov eax,dword ptr ds:[77386BF0]                 &"(null)"
772E22EA mov eax,dword ptr ds:[77386BF4]                 &L"(null)"
772E2E8F mov word ptr ds:[77380284],ax                   L"WSHGetBroadcastSockaddr"
772E2F0B mov dword ptr ss:[ebp-34],ntdll.772A2C4E        L"D3DRM.DLL"
772E2F12 mov dword ptr ss:[ebp-2C],ntdll.772A2C36        L"MSVCP50.DLL"
772E2F19 mov dword ptr ss:[ebp-24],ntdll.772A2C1C        L"MSVBVM50.DLL"
772E2F24 mov dword ptr ss:[ebp-1C],ntdll.772A2BEE        L"PCATESTDEPRECATION.DLL"
772E31D7 push ntdll.772A26A4                             ".aspack"
772E31EF push ntdll.772A269E                             ".pcle"
772E3207 push ntdll.772A2696                             ".sforce"
772E3257 push ntdll.772A268A                             "secserv.dll"
772E3432 push ntdll.772A889C                             L"UseFilter"
772E3543 push ntdll.772A2742                             L"\\DllNXOptions"
772E38CB push ntdll.772E3A2C                             L"COMPLUS_InstallRoot"
772E38F8 push 7FFE0030                                   L"C:\\Windows"
772E3A8E mov eax,dword ptr ds:[773800C8]                 "0$W"
772E48B2 mov ebx,ntdll.772E48EC                          "TppAlpcpCallbackEpilog"
772E48B7 mov edi,ntdll.772E482C                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\lpc.c"
772E4919 mov ebx,ntdll.772E482C                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\lpc.c"
772E4926 mov edi,ntdll.772E49EC                          "TppAlpcpExecuteCallback"
772E5A48 mov edi,ntdll.772E5AE4                          "TpBindAlpcToDirect"
772E5A4D mov esi,ntdll.772D9788                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
772E62BC mov edi,ntdll.772E630C                          "TppCleanupGroupMemberRelease"
772E62C1 mov esi,ntdll.772C4D28                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\cgrpmem.c"
772E648E mov ebx,ntdll.772E6520                          "TppSimplepExecuteCallback"
772E6493 mov edi,ntdll.772E653C                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\simple.c"
772E66ED mov edi,ntdll.772E673C                          "TppSimplepFree"
772E66F2 mov esi,ntdll.772E653C                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\simple.c"
772E68F9 mov ecx,ntdll.772A42B2                          "Pinning"
772E7260 push ntdll.772A8712                             L"MUI"
772E7415 movsx edx,word ptr ds:[esi+772DCEA0]            &L"rige)"
772E7424 movsx eax,word ptr ds:[eax+772DCEA0]            &L"rige)"
772E8340 mov ebx,ntdll.772E83AC                          "TpUnreserveTaskPost"
772E8345 mov edi,ntdll.772D9788                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
772EB0DA push ntdll.772A62F4                             L"ASqmManifestVersion"
772EB16E push ntdll.772A6060                             L"AdaptiveSqmNameSpaceBoundary"
772EB191 push ntdll.772A6058                             L"DPS"
772EB544 mov esi,ntdll.772E67FC                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\io.c"
772EB557 mov ebx,ntdll.772E6828                          "TppIopValidateIo"
772EC265 mov edi,ntdll.772EC29C                          "TppCleanupGroupMemberWait"
772EC26A mov esi,ntdll.772C4D28                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\cgrpmem.c"
772EC394 mov esi,ntdll.772B2798                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
772EC3A6 mov edi,ntdll.772B27C4                          "TppTimerpValidateTimer"
772EC521 mov esi,ntdll.772B2798                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
772EC533 mov edi,ntdll.772B27C4                          "TppTimerpValidateTimer"
